,REFERENCE: doi,NAME,FORMULA,Family,PROPERTY: Material Family,IDENTIFIER: sampleid,IDENTIFIER: paperid,IDENTIFIER: figureid,PROPERTY: Temperature (K),PROPERTY: Seebeck coefficient (V/K),PROPERTY: Thermal conductivity (W*m^(-1)*K^(-1)),PROPERTY: Power factor (W*m^(-1)*K^(-2)),PROPERTY: ZT (-),PROPERTY: Electrical conductivity (S*m^(-1)),PROPERTY: sigma_E_0,PROPERTY: log sigma_E_0,PROPERTY: quality_factor,PROPERTY: log quality_factor,inexpensive,non-toxic,n_elements,electron_count,PROPERTY: Seebeck coefficient (muV/K),|S|(muV/K),,L,L*sigma*T,Electronic thermal conductivity,Lattice thermal conductivity,
3247,10.1016/j.jallcom.2020.154732,Bi1.4Sb0.6Te2.7Se0.3,Bi1.4Sb0.6Te2.7Se0.3,Toxic,,28199,27516,22686,300,0.000174285,1.242906574,0.003474373,0.86118552,115427.7286,116479.6736,5.066250145,0.389746916,,1,FALSE,4,0,174.285,174.285,0.222582625,1.722582625,1.72258E-08,0.596501399,0.646405175,
3246,10.1021/ja8089334,"r=0.16,S=0.12",Ba0.16In0.12Co4Sb12,Skutterudite,Skutterudite,4392,3481,3166,300,-0.000141966,1.181494291,0.00345969,0.365224734,170573.8839,116485.2144,5.066270803,0.905750044,,1,TRUE,4,96,-141.966,141.966,0.294097237,1.794097237,1.7941E-08,0.918078402,0.263415889,
3244,10.1515/amm-2017-0171,800RPM,Bi0.5Sb1.5Te3,Toxic,,14240,18783,12012,300,0.000185548,1.352349875,3.472972973,0.775236744,101019.6821,116533.7108,5.066451576,0.303991895,,1,FALSE,3,28,185.548,185.548,0.201987044,1.701987044,1.70199E-08,0.51580257,0.836547305,
3243,10.1063/1.4944434,0.2,In0.3Co4Sb12.2,Skutterudite,Skutterudite,5426,10388,4119,300,-0.000246237,4.919145437,0.002982695,0.199791228,49572.64957,116561.8495,5.06655643,0.055407528,,1,TRUE,3,97,-246.237,246.237,0.119704059,1.619704059,1.6197E-08,0.240879065,4.678266372,
3240,10.1088/0022-3727/45/44/445306,G5d,Ba8Ga18.1Sn23.3Ge4.6,,,1080,3297,587,300,0.000304039,0.13747902,0.000771552,0.180130643,25317.9916,116637.7316,5.066839065,12.0207711,1.079932328,1,TRUE,4,181,304.039,304.039,0.072728215,1.572728215,1.57273E-08,0.119454959,0.018024061,
3232,10.1016/j.jallcom.2020.154732,Bi1.6Sb0.4Te2.7Se0.3,Bi1.6Sb0.4Te2.7Se0.3,Toxic,,28194,27516,22686,300,0.000246051,1.066435986,0.003003927,0.87683138,49764.0118,116755.9908,5.067279173,0.312275381,,1,FALSE,4,0,246.051,246.051,0.119896152,1.619896152,1.6199E-08,0.241837594,0.824598392,
3229,10.1063/1.2821364,"x=0.09,y=0.17,z=1.26",Ba0.09In0.17Co4Sb11.74,Zintl,,5372,10130,4069,300,-0.000154585,3.809671469,,0.262599281,146604.4955,116773.6654,5.067344913,0.085119422,,1,TRUE,4,95,-154.585,154.585,0.263782782,1.763782782,1.76378E-08,0.775735455,3.033936014,
3228,10.1016/j.jallcom.2015.03.213,1.5h,Yb0.3Co4Sb12,Skutterudite,Skutterudite,5295,9738,4009,300,-0.000112259,3.349626636,,0.289146738,248811.4376,116782.0581,5.067376125,0.132484451,,1,TRUE,3,0,-112.259,112.259,0.379936935,1.879936935,1.87994E-08,1.403249434,1.946377202,
3227,10.1039/c3ee43240h,x=0.276,In0.276Co4Sb11.908,Zintl,,3421,870,2295,300,-0.000161982,2.87402073,,0.367069884,134094.5196,116783.1589,5.067380218,0.11866721,,1,TRUE,3,96,-161.982,161.982,0.247487166,1.747487166,1.74749E-08,0.702985356,2.171035374,
3224,10.1039/c3ee43240h,x=0.207,In0.207Co4Sb11.931,Zintl,,3420,870,2295,300,-0.000174538,2.99721632,,0.354144165,115417.6731,116816.6697,5.067504821,0.107522049,,1,TRUE,3,96,-174.538,174.538,0.222097694,1.722097694,1.7221E-08,0.596281526,2.400934794,
3218,10.1063/1.2755926,Sample B,Yb0.15Co4Sb12,Skutterudite,Skutterudite,4956,6724,3723,300,-0.000162407,4.266162341,,0.373724011,133557.1686,116909.6426,5.067850333,0.072594729,,1,TRUE,3,0,-162.407,162.407,0.246582084,1.746582084,1.74658E-08,0.699805673,3.566356668,
3213,10.1063/1.4944434,0,In0.3Co4Sb12,Skutterudite,Skutterudite,5422,10388,4119,300,-0.000154232,3.496220536,0.003535487,0.350575023,147520.3973,117002.8694,5.068196513,0.095211021,,1,TRUE,3,96,-154.232,154.232,0.264586723,1.764586723,1.76459E-08,0.780937603,2.715282933,
3212,10.1007/s11664-012-2021-x,Ba0.4In0.3Co4Sb12,Ba0.4In0.3Co4Sb12,Skutterudite,Skutterudite,4079,2376,2821,300,-0.000128879,2.711800553,0.003338094,0.284629949,201597.6834,117022.8723,5.068270754,0.160134666,,1,TRUE,4,97,-128.879,128.879,0.329221052,1.829221052,1.82922E-08,1.10630018,1.605500373,
3211,10.1016/j.nanoen.2015.04.024,Ag2Se,Ag2Se,Toxic,,14066,4125,11870,300,-5.11E-05,1.211148649,,0.456976744,643217.2869,117043.2762,5.06834647,-0.085268859,,1,TRUE,2,0,-51.1,51.1,0.643703385,2.143703385,2.1437E-08,4.136601226,-2.925452577,
3194,10.1016/j.mseb.2015.03.011,Ingots-Ptype,Bi0.56Sb1.74Te2.69,Toxic,,5538,3918,4238,300,0.000220704,1.54731975,0.00327376,0.812827988,67218.54305,117278.4726,5.069218301,0.213023949,,1,FALSE,3,27,220.704,220.704,0.149177159,1.649177159,1.64918E-08,0.332565858,1.214753892,
3178,10.1515/amm-2017-0171,500RPM,Bi0.5Sb1.5Te3,Toxic,,14239,18783,12012,300,0.000184822,1.28535014,3.513513514,0.815287996,102760.4456,117527.121,5.070138098,0.336533354,,1,FALSE,3,28,184.822,184.822,0.203255168,1.703255168,1.70326E-08,0.52508178,0.76026836,
3177,10.1063/1.2821364,"x=0.17,y=0.08,z=0.18",Ba0.17In0.08Co4Sb11.82,Zintl,,5370,10130,4069,300,-0.00016607,3.839814697,,0.279148062,128549.8489,117587.2194,5.070360121,0.082115163,,1,TRUE,4,95,-166.07,166.07,0.238917272,1.738917272,1.73892E-08,0.670612658,3.169202039,
3176,10.1038/srep14641,Yb0.26Ga0.20,Yb0.26Ga0.2,,,4762,5167,3491,300,-0.000142146,2.622000658,,0.370495026,171814.1724,117590.5969,5.070372595,0.152234571,,1,TRUE,2,0,-142.146,142.146,0.293641233,1.793641233,1.79364E-08,0.924518952,1.697481706,
3174,10.1016/s1002-0071(12)60066-5,B1,Bi0.52Sb1.48Te3,Toxic,,5640,5005,4359,300,0.000218383,1.19167,0.003307863,0.837912134,69270.58381,117620.159,5.070481762,0.304534053,,1,FALSE,3,28,218.383,218.383,0.15219205,1.65219205,1.65219E-08,0.343344924,0.848325076,
3172,10.1016/j.actamat.2011.01.064,1200,Ba0.3In0.2Co3.95Ni0.05Sb12,Skutterudite,,3139,42,2080,300,-0.000121073,1.43492147,,0.267644267,223695.6522,117638.4963,5.070549464,1.230777866,0.090179677,1,TRUE,5,97,-121.073,121.073,0.35213778,1.85213778,1.85214E-08,1.242945506,0.191975964,
3170,10.1021/cm803437x,y=0,La0.01Te1Pb0.99,Toxic,,27010,585,21709,300,-6.01E-05,4.702428311,0.001961531,0.120312048,543976.2028,117672.1646,5.070673742,0.21932987,,1,FALSE,3,9,-60.1,60.1,0.595649157,2.095649157,2.09565E-08,3.419949812,1.282478499,
3161,10.1007/s11664-012-2370-5,30-0,Yb2O3,Oxide,Oxide,5483,10754,4187,300,-0.000113901,2.757781296,,0.252173621,245602.2753,117767.5353,5.071025586,0.188089028,,1,TRUE,2,0,-113.901,113.901,0.374596747,1.874596747,1.8746E-08,1.381215679,1.376565617,
3154,10.1109/ict.2007.4569453,Yb0.15Co4Sb12,Yb0.15Co4Sb12,Skutterudite,Skutterudite,5182,9103,3881,300,-0.000163348,4.391972603,,0.268394456,133150.6849,117880.4367,5.071441736,0.070661188,,1,TRUE,3,0,-163.348,163.348,0.244589884,1.744589884,1.74459E-08,0.696880014,3.695092589,
3153,10.1021/nl101156v,perpendicular-repressed,Bi2Te2.7Se0.3,Toxic,,5608,4135,4326,300,-0.000191463,1.16003165,0.003516703,0.910004382,95281.68433,117881.468,5.071445536,0.378945705,,1,FALSE,3,0,-191.463,191.463,0.191945634,1.691945634,1.69195E-08,0.483634289,0.676397361,
3134,10.1063/1.2811936,0,Ba0.44Co4Sb12.13,Skutterudite,Skutterudite,3942,1952,2697,300,-0.000101993,5.237278665,0.001927397,0.112823056,288189.8746,118046.7586,5.072054067,0.073212611,,1,TRUE,3,97,-101.993,101.993,0.415094116,1.915094116,1.91509E-08,1.655732199,3.581546466,
3132,10.1016/j.actamat.2011.01.064,1400,Ba0.3In0.2Co3.95Ni0.05Sb12,Skutterudite,,3140,42,2080,300,-0.000120864,1.440246071,,0.280568739,225117.1678,118068.9996,5.072135883,1.252874086,0.097907426,1,TRUE,5,97,-120.864,120.864,0.352772807,1.852772807,1.85277E-08,1.251272901,0.18897317,
3125,10.1063/1.3430739,x=0.15,Tl0.15Co4Sb12,Skutterudite,Skutterudite,3384,325,2265,300,-0.000214508,3.615384615,,0.318022534,72812.9805,118142.4732,5.072406058,0.08058283,,1,TRUE,3,96,-214.508,214.508,0.157361921,1.657361921,1.65736E-08,0.362032384,3.253352231,
3124,10.1063/1.4974049,0.36,TePb,Toxic,,2531,18566,1622,300,0.000153658,2.976470588,,0.354859225,150000,118145.5406,5.072417334,0.119394296,,1,FALSE,2,10,153.658,153.658,0.265899216,1.765899216,1.7659E-08,0.794654647,2.181815941,
3121,10.1063/1.4901178,x=0.010,Mg2.08Si0.39Sn0.6Bi0.01,Toxic,,9522,6914,7830,300,-0.0001493,2.42413875,0.003602668,0.434842986,158187.7683,118165.9335,5.07249229,0.164084848,,1,FALSE,4,8,-149.3,149.3,0.276078795,1.776078795,1.77608E-08,0.842861823,1.581276927,
3119,10.1039/c4cp06021k,Pb0.954Sn0.05Se0.998Cl0.002,Sn0.05Pb0.954Se0.998Cl0.002,Toxic,,271,4619,126,300,-7.25E-05,2.719111969,0.001154768,0.13909669,443406.5934,118219.0951,5.072687631,-8.599360055,,1,FALSE,4,0,-72.5,72.5,0.535261429,2.035261429,2.03526E-08,2.70734501,0.011766959,
3116,10.1016/j.jallcom.2012.11.066,In0.1Co4Sb12 12mm,In0.1Co4Sb12,Skutterudite,Skutterudite,3708,1719,2524,300,-0.000252825,5.430145752,0.00297619,0.176825618,46595.56812,118304.9468,5.073002905,0.050563472,,1,TRUE,3,96,-252.825,252.825,0.113095141,1.613095141,1.6131E-08,0.225489254,5.204656498,
3104,10.1039/c5tc01196e,Ti0.15Hf0.85,Hf0.85Ti0.15,Half-heusler,,11648,2837,9600,300,0.000197965,4.963729309,,0.459545904,88676.69138,118461.2118,5.073576171,0.058231478,,1,TRUE,2,4,197.965,197.965,0.181482722,1.681482722,1.68148E-08,0.447324973,4.516404336,
3093,10.3365/met.mat.2008.04.223,In0.20Co4Sb12,In0.2Co4Sb12,Skutterudite,Skutterudite,4624,4084,3395,300,-0.000200089,2.524176064,,0.39137259,86599.64128,118615.5984,5.074141804,0.125629191,,1,TRUE,3,96,-200.089,200.089,0.178189948,1.678189948,1.67819E-08,0.435991943,2.088184121,
3084,10.1142/s1793604714500519,Bi2Te2.73Se0.27,Bi2Te2.73Se0.27,Toxic,,27725,978,22262,300,-0.000153888,1.156105611,,0.944385027,150322.5576,118727.1803,5.074550154,0.691127918,,1,FALSE,3,0,-153.888,153.888,0.265372524,1.765372524,1.76537E-08,0.796125939,0.359979672,
3080,10.1103/physrevb.80.115329,x=0.4,Yb0.4Co4Sb12,Skutterudite,Skutterudite,4723,4738,3464,300,-0.000118738,2.941642133,,0.343569875,232755.2097,118797.7483,5.074808209,0.159067376,,1,TRUE,3,0,-118.738,118.738,0.359297893,1.859297893,1.8593E-08,1.298283813,1.64335832,
3076,10.1063/1.4936829,x=0.29,Yb0.29Co4Sb12,Skutterudite,Skutterudite,4936,6207,3699,300,-9.97E-05,3.453441296,0.002933786,0.249013372,299304.8849,118871.8038,5.075078853,0.15264735,,1,TRUE,3,0,-99.7,99.7,0.423381016,1.923381016,1.92338E-08,1.727032001,1.726409295,
3071,10.1063/1.4904187,Ca0.25Co4Sb12,Ca0.25Co4Sb12,Skutterudite,Skutterudite,4041,2174,2786,300,-0.000119386,4.853271284,0.003235992,0.23258024,230993.619,118884.4286,5.075124975,0.073837722,,1,TRUE,3,96,-119.386,119.386,0.357296377,1.857296377,1.8573E-08,1.287070835,3.566200449,
3063,10.1021/ja8089334,"r=0.15,S=0.16",Ba0.15In0.16Co4Sb12,Skutterudite,Skutterudite,4393,3481,3166,300,-0.000138615,2.65386285,0.003498803,0.392014748,181648.7496,119027.4479,5.075647122,0.156431274,,1,TRUE,4,96,-138.615,138.615,0.302717002,1.802717002,1.80272E-08,0.982383868,1.671478982,
3062,10.1063/1.2815671,x=0.05,Co1Sb2.95Te0.05,Toxic,,3949,1953,2698,300,-0.000244149,2.825689385,0.00305297,0.615438451,51874.11396,119035.9373,5.075678096,0.102703997,,1,FALSE,3,24,-244.149,244.149,0.121878241,1.621878241,1.62188E-08,0.25240049,2.573288895,
3058,10.3390/ma8030959,0.5 at.% Fe-BST,Fe0.005Bi0.48Sb1.515Te3,Toxic,,15284,3695,12967,300,0.000206417,1.014011504,0.003455805,1.03090379,80688.11958,119060.6942,5.07576841,0.424892708,,1,FALSE,4,28,206.417,206.417,0.16872976,1.66872976,1.66873E-08,0.403939999,0.610071505,
3053,10.1021/acs.chemmater.6b02308,x=0.04_6,Mg2.16Si0.2548Sn0.686Ge0.0392Sb0.02,Mg2Si,,9542,7401,7845,300,-0.000130807,3.269463954,0.003264867,0.295762377,200380.6572,119162.1099,5.076138184,0.120870878,,1,TRUE,5,8,-130.807,130.807,0.323794394,1.823794394,1.82379E-08,1.096359358,2.173104596,
3043,10.1039/c4cp00641k,x=0.020,Mg2Si0.294Sn0.686Bi0.02,Mg2Si,Mg2Si,9328,4600,7668,300,-0.000117778,3.161003861,0.00334515,0.328338762,236724.6876,119342.6328,5.076795615,0.143044621,,1,FALSE,4,8,-117.778,117.778,0.362283731,1.862283731,1.86228E-08,1.322545603,1.838458258,
3028,10.1016/j.intermet.2006.08.008,x=0.02,Hf0.05Ti0.95Ni1Sn0.98Sb0.02,Half-heusler,,10821,1240,8891,300,-0.000106367,6.682815525,0.003083636,0.139718405,275095.3859,119479.9771,5.077295131,0.05189457,,1,TRUE,5,18,-106.367,106.367,0.399733623,1.899733623,1.89973E-08,1.567823862,5.114991663,
3026,10.1021/cm803437x,x=0.01,La0.01Te1Pb0.99,Toxic,,27006,585,21708,300,-6.11E-05,4.687231041,0.001961644,0.12488796,542530.2125,119515.1971,5.077423132,0.221749612,,1,FALSE,3,9,-61.1,61.1,0.59053632,2.09053632,2.09054E-08,3.402537342,1.284693699,
2996,10.1016/j.intermet.2012.07.037,S1003,VFeSb,Half-heusler,,10871,1260,8947,300,-0.000204184,10.32751785,0.003328676,0.094591653,83562.17903,120104.7278,5.079560103,0.026963845,,1,TRUE,3,18,-204.184,204.184,0.172009272,1.672009272,1.67201E-08,0.419150214,9.908367636,
2990,10.1039/c4ee03042g,x=0.20,Ti0.2Nb0.8Fe1Sb1,Half-heusler,,10606,872,8684,300,6.88E-05,7.425564178,,0.087248322,478011.2741,120183.3434,5.079844282,0.060467462,,1,TRUE,4,17,68.8,68.8,0.552609625,2.052609625,2.05261E-08,2.943511627,4.482052551,
2989,10.1021/ja8089334,"r=0.15,S=0.20",Ba0.15In0.2Co4Sb12,Skutterudite,Skutterudite,4394,3481,3166,300,-0.000139991,1.432048493,0.003530934,0.365224734,180362.6947,120211.7573,5.079946946,0.555145982,,1,TRUE,4,96,-139.991,139.991,0.299147366,1.799147366,1.79915E-08,0.973497201,0.458551292,
2982,10.1007/s11664-011-1543-y,x=0.3,Ga66.6Re0.3Ru33.1,Expensive,,20007,11149,16744,300,7.18E-05,9.19419394,0.002448822,0.104593076,456137.133,120328.2193,5.08036749,0.042149816,,0,TRUE,3,466,71.8,71.8,0.53850122,2.03850122,2.0385E-08,2.789508306,6.404685634,
2968,10.1021/acs.chemmater.6b02308,y=0.02_6,Mg2.16Si0.294Sn0.6664Ge0.0196Sb0.02,Mg2Si,,9544,7401,7845,300,-0.000132137,3.325285275,0.003497452,0.310688677,199280.7937,120491.8711,5.080957749,0.118735772,,1,TRUE,5,8,-132.137,132.137,0.320103125,1.820103125,1.8201E-08,1.088134786,2.237150489,
2961,10.1016/j.mseb.2013.06.023,Yb0.13Ba0.10Co4Sb12 SQ,Ba0.1Yb0.13Co4Sb12,Skutterudite,Skutterudite,4601,3913,3380,300,-0.000115918,3.838819366,,0.321588611,244952.2964,120566.9146,5.081228147,0.108058054,,1,TRUE,4,0,-115.918,115.918,0.368139586,1.868139586,1.86814E-08,1.372815245,2.466004121,
2958,10.1021/acs.chemmater.6b02308,y=0.03_6,Mg2.16Si0.294Sn0.6566Ge0.0294Sb0.02,Mg2Si,,9545,7401,7845,300,-0.000133782,3.231653963,0.003503001,0.328877044,195418.6387,120605.1791,5.081365958,0.122630331,,1,TRUE,5,8,-133.782,133.782,0.315595767,1.815595767,1.8156E-08,1.06440376,2.167250203,
2954,10.1007/s11664-015-4114-9,MS aligned,Bi0.48Sb1.52Te3,Toxic,,7986,10915,6526,300,0.000200551,1.033226152,,1.01578903,87671.29969,120735.5934,5.081835321,0.442811119,,1,FALSE,3,28,200.551,200.551,0.177481672,1.677481672,1.67748E-08,0.441200995,0.592025157,
2953,10.1016/j.mseb.2013.06.023,Yb0.08Ba0.09Co4Sb12.12 SQ,Ba0.09Yb0.08Co4Sb12.12,Skutterudite,Skutterudite,4599,3913,3380,300,-0.000142727,3.516313531,,0.251594389,175154.6882,120736.2356,5.081837631,0.103509817,,1,TRUE,4,0,-142.727,142.727,0.292174173,1.792174173,1.79217E-08,0.941723125,2.574590406,
2951,10.1007/s11664-012-2021-x,Ba0.4In0.1Co4Sb12,Ba0.4In0.1Co4Sb12,Skutterudite,Skutterudite,4077,2376,2821,300,-0.000121598,2.770665704,0.003405461,0.239531155,228107.5237,120761.3336,5.0819279,0.176300561,,1,TRUE,4,97,-121.598,121.598,0.350547654,1.850547654,1.85055E-08,1.266371529,1.504294175,
2949,10.1021/acs.chemmater.6b02308,y=0.04_6,Mg2.16Si0.294Sn0.6468Ge0.0392Sb0.02,Mg2Si,,9546,7401,7845,300,-0.000130128,,0.003453693,0.323811035,204810.4293,120764.4915,5.081939257,,,1,TRUE,5,8,-130.128,130.128,0.325695265,1.825695265,1.8257E-08,1.121764293,-1.121764293,
2947,10.1021/acs.chemmater.6b02308,x=0.05_6,Mg2.16Si0.245Sn0.686Ge0.049Sb0.02,Mg2Si,,9543,7401,7845,300,-0.000127602,3.289916491,0.003459593,0.313327351,211429.8226,120777.1595,5.081984811,0.12512377,,1,TRUE,5,8,-127.602,127.602,0.332865345,1.832865345,1.83287E-08,1.162567184,2.127349307,
2941,10.1038/srep06888,ZrNiSn0.94Sb0.06,Zr1Ni1Sn0.94Sb0.06,Half-heusler,Half-Heusler,21178,17021,17645,300,-5.12E-05,10.75657895,,0.047042748,663727.0672,120901.3245,5.082431059,0.042401232,,1,TRUE,4,18,-51.2,51.2,0.643148707,2.143148707,2.14315E-08,4.267397418,6.489181532,
2940,10.1021/ja8089334,"r=0.21,S=0.04",Ba0.21In0.04Co4Sb12,Skutterudite,Skutterudite,4390,3481,3166,300,-0.000159663,0.883697744,0.003636947,0.329241919,142789.1462,120932.1249,5.082541684,1.733388644,0.238895947,1,TRUE,4,96,-159.663,159.663,0.252484562,1.752484562,1.75248E-08,0.750707323,0.132990421,
2938,10.1002/slct.201901565,Cu0.0075Bi0.3Sb1.6925Te,Cu0.0075Bi0.3Sb1.6925Te1,Toxic,,27878,24822,22407,300,0.000132985,1.666982657,,0.648734138,198008.8313,120995.8539,5.082770489,0.441230102,,1,FALSE,4,16,132.985,132.985,0.317771593,1.817771593,1.81777E-08,1.079804486,0.587178171,
2934,10.3938/jkps.65.491,Yb0.3Co4Sb12,Yb0.3Co4Sb12,Skutterudite,Skutterudite,4431,3587,3212,300,-0.000129234,3.652962836,0.003246656,0.28807947,207556.123,121018.5276,5.082851865,0.106229247,,1,TRUE,3,0,-129.234,129.234,0.328215063,1.828215063,1.82822E-08,1.138371691,2.514591145,
2919,10.1038/srep06888,ZrNiSn0.92Sb0.08,Zr1Ni1Sn0.92Sb0.08,Half-heusler,Half-Heusler,21179,17021,17645,300,-4.02E-05,11.59539474,,0.044793497,851499.5082,121184.8644,5.083448381,0.04695665,,1,TRUE,4,18,-40.2,40.2,0.707122243,2.207122243,2.20712E-08,5.638090513,5.957304227,
2917,10.1016/j.actamat.2011.01.064,400,Ba0.3In0.2Co3.95Ni0.05Sb12,Skutterudite,Oxide,3135,42,2080,300,-0.000117957,2.283771785,,0.277360866,240000,121273.8662,5.083767223,0.280289965,,1,TRUE,5,97,-117.957,117.957,0.361725121,1.861725121,1.86173E-08,1.340442087,0.943329698,
2916,10.1063/1.1450036,x=0.08,Ba0.3Co3.92Ni0.08Sb12,Skutterudite,,5335,9958,4040,300,-9.46E-05,4.878417169,,0.1714913,327834.0048,121333.2096,5.083979686,0.090988989,,1,TRUE,4,96,-94.6,94.6,0.442410435,1.942410435,1.94241E-08,1.910364576,2.968052593,
2905,10.1021/ja8089334,"r=0.19,S=0.07",Ba0.19In0.07Co4Sb12,Skutterudite,Skutterudite,4391,3481,3166,300,-0.000150019,1.219402237,0.003665702,0.372394411,161190.4613,121469.5076,5.084467271,0.702879918,,1,TRUE,4,96,-150.019,150.019,0.274372875,1.774372875,1.77437E-08,0.858035947,0.36136629,
2886,10.1021/acs.chemmater.6b02308,x=0.02_6,Mg2.16Si0.2744Sn0.686Ge0.0196Sb0.02,Mg2Si,,9540,7401,7845,300,-0.000129088,3.212114874,0.003331254,0.313327351,209230.0955,121772.5038,5.085549236,0.129939182,,1,TRUE,5,8,-129.088,129.088,0.328628421,1.828628421,1.82863E-08,1.147812297,2.064302577,
2872,10.1016/j.jallcom.2004.09.005,sc-1,SrTiO3,Perovskite,Perovskite,26561,1516,21366,300,-0.000551525,9.047129575,0.000505839,0.018010631,1498.34,122066.2599,5.086595638,0.03007964,,1,TRUE,3,0,-551.525,551.525,0.008612627,1.508612627,1.50861E-08,0.006781244,9.040348331,
2870,10.3724/sp.j.1077.2012.12615,Ba0.15Yb0.09Co4Sb11.86,Ba0.15Yb0.09Co4Sb11.86,Zintl,,4831,5555,3565,300,-0.000118792,3.607799102,0.00339695,0.263355907,239096.3681,122121.2608,5.086791279,0.118528746,,1,TRUE,4,0,-118.792,118.792,0.359130673,1.859130673,1.85913E-08,1.333534175,2.274264927,
2865,10.1016/j.actamat.2012.04.038,B,Ba0.46Ca0.46Fe4Sb12,Skutterudite,,4856,5830,3607,300,8.59E-05,4.012944984,0.002684745,0.451229649,373888.6289,122232.5574,5.087186898,0.152596175,,1,TRUE,4,93,85.9,85.9,0.476867196,1.976867196,1.97687E-08,2.217384497,1.795560487,
2864,10.1016/j.jallcom.2015.03.213,Pristine,Yb0.3Co4Sb12,Skutterudite,Skutterudite,5294,9738,4009,300,-0.000115661,3.462234475,,0.293746309,249190.7479,122244.4564,5.087229174,0.130623636,,1,TRUE,3,0,-115.661,115.661,0.36895611,1.86895611,1.86896E-08,1.397179712,2.065054763,
2855,10.1016/j.solidstatesciences.2009.06.007,0,Ba0.22Co4Sb12,Skutterudite,Skutterudite,4810,5359,3550,300,-0.000104877,,,0.191448548,287359.8973,122355.417,5.087623201,,,1,TRUE,3,96,-104.877,104.877,0.40490125,1.90490125,1.9049E-08,1.642176683,-1.642176683,
2852,10.1063/1.2755926,Sample C ,Yb0.15Co4Sb12,Skutterudite,Skutterudite,4957,6724,3723,300,-0.000156989,4.244771966,,0.380367212,149280.1879,122413.2038,5.087828264,0.078355738,,1,TRUE,3,0,-156.989,156.989,0.258372368,1.758372368,1.75837E-08,0.787470472,3.457301494,
2851,10.1021/acs.chemmater.6b02308,"x,y=0_6",Mg2.16Si0.294Sn0.686Sb0.02,Mg2Si,,9539,7401,7845,300,-0.000130163,3.307135949,0.003583487,0.303345725,207572.7207,122448.5176,5.087953532,0.124331267,,1,TRUE,4,8,-130.163,130.163,0.32559701,1.82559701,1.8256E-08,1.136832415,2.170303534,
2844,10.1103/physrevb.80.115329,x=0.35,Yb0.35Co4Sb12,Skutterudite,Skutterudite,4722,4738,3464,300,-0.000129061,2.92206445,,0.378725566,210533.6856,122490.9747,5.08810409,0.152393567,,1,TRUE,3,0,-129.061,129.061,0.328704921,1.828704921,1.8287E-08,1.155011961,1.767052489,
2824,10.1002/aenm.201100126,ingot,Hf0.75Zr0.25Ni1Sn0.99Sb0.01,Half-heusler,,12129,5923,10070,300,-9.86E-05,6.616130247,0.003014925,0.16730038,314289.6613,122929.1586,5.089654909,0.056978652,,1,TRUE,5,18,-98.6,98.6,0.427414932,1.927414932,1.92741E-08,1.817299758,4.798830489,
2821,10.1039/c4cp00641k,x=0.025,Mg2Si0.2925Sn0.6825Bi0.025,Mg2Si,Mg2Si,9329,4600,7668,300,-0.000113611,3.204000253,0.003397804,0.320645161,257454.5455,122985.6934,5.089854594,0.154411414,,1,FALSE,4,8,-113.611,113.611,0.375534411,1.875534411,1.87553E-08,1.448594578,1.755405675,
2819,10.1016/j.jallcom.2020.154732,Bi1.45Sb0.55Te2.7Se0.3,Bi1.45Sb0.55Te2.7Se0.3,Toxic,,28198,27516,22686,300,0.000183574,1.222145329,0.003654001,0.935529244,109233.0383,123095.5533,5.090242365,0.402052314,,1,FALSE,4,0,183.574,183.574,0.205453719,1.705453719,1.70545E-08,0.558875674,0.663269655,
2811,10.1109/ict.2005.1519920,6_5,Mg2Si0.4Sn0.6,Mg2Si,Mg2Si,9615,8921,7887,300,-0.000117982,3.468367251,,0.299052159,243757.6576,123212.8793,5.090656107,0.128995106,,1,TRUE,3,8,-117.982,117.982,0.361647171,1.861647171,1.86165E-08,1.361372261,2.10699499,
2810,10.1007/s11664-013-2670-4,"3% intercalated Cr, single-crystalline",Cr0.03Bi2Te3,Toxic,,9418,2500,7728,300,0.000160547,1.969840119,0.003688108,0.567040356,143951.4763,123219.0839,5.090677976,0.221984475,,1,FALSE,3,28,160.547,160.547,0.250567769,1.750567769,1.75057E-08,0.755990444,1.213849675,
2806,10.1038/am.2016.77,Yb0.5Co4Sb12,Yb0.5Co4Sb12,Skutterudite,Skutterudite,22011,14693,18264,300,-9.67E-05,3.631090487,0.003038558,0.242285714,323420.3655,123288.9999,5.09092433,0.15609097,,1,TRUE,3,0,-96.7,96.7,0.434473342,1.934473342,1.93447E-08,1.876944226,1.754146261,
2805,10.1063/1.4748340,TI0.1In0.3Co4Sb12,T1In0.3Co4Sb12I0.1,Skutterudite,Skutterudite,3999,2066,2753,300,-0.000170066,3.465723523,,0.35575518,128490.1654,123290.3969,5.090929251,0.097404711,,1,TRUE,5,0,-170.066,170.066,0.230827129,1.730827129,1.73083E-08,0.667182792,2.798540731,
2797,10.1007/s11664-014-3002-z,6#,Mg2Si0.294Sn0.686Sb0.02,Mg2Si,Mg2Si,8645,2564,7113,300,-0.000115721,3.873590504,0.003348297,0.2636128,251251.721,123354.1738,5.091153849,0.110584379,,1,TRUE,4,8,-115.721,115.721,0.36876532,1.86876532,1.86877E-08,1.408591508,2.464998996,
